epoch,accuracy,loss,val_accuracy,val_loss
0,0.061971619725227356,3.5633034706115723,0.06219806894659996,4.039572715759277
1,0.062424518167972565,3.2283501625061035,0.05948067456483841,3.061603546142578
2,0.06325483322143555,3.0757758617401123,0.057065218687057495,2.9749083518981934
3,0.06567028909921646,2.981431245803833,0.054347824305295944,2.919646739959717
4,0.06416063010692596,2.923358917236328,0.05525362491607666,2.889857292175293
5,0.06302838027477264,2.8902976512908936,0.05253623053431511,2.870002269744873
6,0.06340579688549042,2.871976852416992,0.057367149740457535,2.8612332344055176
7,0.062424518167972565,2.860302686691284,0.05464975908398628,2.8495984077453613
8,0.0659722238779068,2.852688789367676,0.05585748702287674,2.8486709594726562
9,0.06348127871751785,2.8485987186431885,0.05585748702287674,2.8425018787384033
